DT,TEB_RZ,TEB_NRZ,TEB_NRZT
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.27,0.0,0.0
40,0.23,0.0,0.0
41,0.25,0.0,0.23
42,0.25,0.0,0.49
43,0.2,0.0,0.52
44,0.27,0.0,0.53
45,0.25,0.0,0.54
46,0.22,0.0,0.54
47,0.23,0.0,0.59
48,0.29,0.0,0.48
49,0.26,0.0,0.53
50,0.25,0.0,0.4
51,0.28,0.0,0.53
52,0.23,0.0,0.49
53,0.24,0.0,0.51
54,0.25,0.0,0.48
55,0.2,0.0,0.37
56,0.25,0.0,0.49
57,0.23,0.0,0.43
58,0.25,0.0,0.55
59,0.24,0.0,0.53
60,0.22,0.26,0.39
61,0.28,0.11,0.27
62,0.28,0.12,0.27
63,0.23,0.15,0.23
64,0.22,0.12,0.29
65,0.3,0.17,0.28
66,0.24,0.07,0.25
67,0.27,0.15,0.25
68,0.26,0.11,0.27
69,0.27,0.14,0.25
70,0.25,0.11,0.25
71,0.26,0.09,0.27
72,0.22,0.13,0.26
73,0.27,0.14,0.27
74,0.27,0.15,0.25
75,0.22,0.11,0.28
76,0.26,0.13,0.3
77,0.25,0.14,0.24
78,0.21,0.16,0.24
79,0.29,0.14,0.23
80,0.14,0.15,0.23
81,0.11,0.1,0.23
82,0.13,0.12,0.22
83,0.15,0.15,0.22
84,0.13,0.13,0.26
85,0.08,0.13,0.23
86,0.13,0.11,0.25
87,0.14,0.12,0.23
88,0.11,0.1,0.24
89,0.13,0.1,0.21
90,0.14,0.1,0.27
91,0.12,0.13,0.23
92,0.1,0.11,0.24
93,0.13,0.12,0.24
94,0.13,0.1,0.27
95,0.12,0.12,0.26
96,0.13,0.13,0.22
97,0.11,0.11,0.27
98,0.15,0.09,0.22
99,0.23,0.15,0.26
100,0.24,0.09,0.24
101,0.21,0.11,0.26
102,0.26,0.12,0.22
103,0.27,0.1,0.26
104,0.24,0.1,0.19
105,0.25,0.11,0.28
106,0.27,0.12,0.23
107,0.22,0.11,0.25
108,0.21,0.12,0.28
109,0.2,0.09,0.26
110,0.26,0.14,0.19
111,0.18,0.12,0.24
112,0.27,0.12,0.26
113,0.24,0.12,0.26
114,0.26,0.17,0.27
115,0.25,0.09,0.24
116,0.25,0.11,0.24
117,0.25,0.11,0.24
118,0.27,0.09,0.22
119,0.2,0.09,0.21
120,0.27,0.23,0.27
