SNR,TEB_T1,TEB_T2,TEB_T3,TEB_T4
-20,0.3839,0.428,0.4187,0.4093
-18,0.3432,0.4004,0.397,0.3788
-16,0.319,0.3779,0.3705,0.3625
-14,0.2654,0.3533,0.3467,0.3277
-12,0.2266,0.3223,0.3293,0.2964
-10,0.175,0.2805,0.2992,0.2609
-9,0.1435,0.2843,0.288,0.2416
-8,0.1223,0.2635,0.284,0.221
-7,0.0855,0.248,0.2691,0.1954
-6,0.0694,0.2418,0.2597,0.1913
-5,0.0548,0.2384,0.2525,0.1754
-4,0.0375,0.2285,0.2542,0.1577
-3.0,0.0193,0.2215,0.2486,0.1497
-2.8,0.0205,0.2253,0.2547,0.1546
-2.6,0.016,0.2232,0.255,0.1387
-2.4,0.012,0.2235,0.2574,0.1368
-2.2,0.0133,0.2222,0.2468,0.1353
-2.0,0.0099,0.2177,0.2535,0.1357
-1.8,0.0117,0.2126,0.2489,0.1327
-1.6,0.0082,0.2167,0.2491,0.1373
-1.4,0.0084,0.2231,0.2486,0.1343
-1.2,0.004,0.2207,0.2511,0.1274
-1.0,0.0061,0.2107,0.254,0.1246
-0.8,0.0055,0.2123,0.246,0.1264
-0.6,0.0036,0.2147,0.2561,0.1252
-0.4,0.003,0.2124,0.2528,0.115
-0.2,0.0016,0.2096,0.2512,0.1202
0.0,0.0017,0.214,0.2451,0.1185
0.2,0.0018,0.2147,0.2485,0.1192
0.4,0.0022,0.2158,0.2484,0.1107
0.6,0.001,0.2117,0.2497,0.1137
0.8,0.001,0.2075,0.2483,0.1107
1.0,0.0013,0.2095,0.2554,0.1118
1.2,0.001,0.2154,0.2525,0.1134
1.4,5.0E-4,0.2078,0.249,0.1037
1.6,6.0E-4,0.2146,0.255,0.1057
1.8,4.0E-4,0.2139,0.2505,0.1044
2.0,1.0E-4,0.2135,0.2439,0.1043
2.2,7.0E-4,0.2102,0.2529,0.1076
2.4,1.0E-4,0.2096,0.2485,0.1075
2.6,4.0E-4,0.2094,0.2489,0.1096
2.8,0.0,0.2093,0.2465,0.101
3.0,0.0,0.2126,0.2525,0.103
3.2,0.0,0.2093,0.2514,0.1004
3.4,0.0,0.2093,0.256,0.1038
3.6,0.0,0.2096,0.2448,0.0985
3.8,0.0,0.2056,0.2561,0.1003
4.0,0.0,0.2124,0.2445,0.1089
4.2,0.0,0.2136,0.2516,0.0988
4.4,0.0,0.2098,0.2488,0.1011
4.6,0.0,0.2081,0.2577,0.0937
4.8,0.0,0.2086,0.2454,0.1013
5.0,0.0,0.2167,0.2496,0.1016
5.5,0.0,0.2093,0.2432,0.1024
6.0,0.0,0.2124,0.2497,0.0995
6.5,0.0,0.2146,0.241,0.0997
7.0,0.0,0.2146,0.2463,0.0949
7.5,0.0,0.2166,0.2537,0.0989
8.0,0.0,0.2211,0.2529,0.1077
8.5,0.0,0.2283,0.2518,0.0961
9.0,0.0,0.2265,0.2488,0.0962
9.5,0.0,0.2213,0.2467,0.1078
10.0,0.0,0.2356,0.247,0.1079
